MAPPINGS,ISA ontology term label,URI,,,,,,,,
Investigation,investigation,http://purl.org/isaterms/investigation,,,,,,,,
Investigation Identifier,,,,,,,,,,
Investigation Title,title,http://purl.org/isaterms/title,,,,,,,,
Investigation Description,description,http://purl.org/isaterms/description,,,,,,,,
Investigation Submission Date,,,,,,,,,,
Investigation Public Release Date,,,,,,,,,,
Comment [Created with configuration],,,,,,,,,,
Comment [Last Opened With Configuration],,,,,,,,,,
,,,,,,,,,,
Publication,,,,,,,,,,
Investigation PubMed ID,,,,,,,,,,
Investigation Publication DOI,,,,,,,,,,
Investigation Publication Author List,,,,,,,,,,
Investigation Publication Title,,,,,,,,,,
Investigation Publication Status,,,,,,,,,,
,,,,,,,,,,
Investigation Person,,,,,,,,,,
Investigation Person Full Name,,,,,,,,,,
Investigation Person Last Name,last name,http://purl.org/isaterms/last_name,,,,,,,,
Investigation Person First Name,first name,http://purl.org/isaterms/first_name,,,,,,,,
Investigation Person Mid Initials,mid initials,http://purl.org/isaterms/mid_initials,,,,,,,,
Investigation Person Email,,,,,,,,,,
Investigation Person Phone,,,,,,,,,,
Investigation Person Fax,,,,,,,,,,
Investigation Person Address,,,,,,,,,,
Investigation Person Affiliation,,,,,,,,,,
Investigation Person Roles,,,,,,,,,,
,,,,,,,,,,
Study,study,http://purl.org/isaterms/study,,,,,,,,
Study Identifier,,,,,,,,,,
Study Title,title,http://purl.org/isaterms/title,describes,http://purl.org/isaterms/describes,investigation,Investigation,,,,
Study Description,description,http://purl.org/isaterms/description,describes,http://purl.org/isaterms/describes,investigation,Investigation,,,,
Study Submission Date,,,,,,,,,,
Study Public Release Date,,,,,,,,,,
Study Submission Date,,,,,,,,,,
Study Release Date,,,,,,,,,,
Study File,study file,http://purl.org/isaterms/study_file,describes,http://purl.org/isaterms/describes,study,Study,,,,
Study File Name,,,,,,,,,,
,,,,,,,,,,
Publication,,,,,,,,,,
Study PubMed ID,,,,,,,,,,
Study Publication DOI,,,,,,,,,,
Study Publication Author List,,,,,,,,,,
Study Publication Title,,,,,,,,,,
Study Publication Status,,,,,,,,,,
,,,,,,,,,,
Study Person,,,,,,,,,,
Study Person Full Name,,,,,,,,,,
Study Person Last Name,last name,http://purl.org/isaterms/last_name,,,,,,,,
Study Person First Name,first name,http://purl.org/isaterms/first_name,,,,,,,,
Study Person Mid Initials,mid initials,http://purl.org/isaterms/mid_initials,,,,,,,,
Study Person Email,,,,,,,,,,
Study Person Phone,,,,,,,,,,
Study Person Fax,,,,,,,,,,
Study Person Address,,,,,,,,,,
Study Person Affiliation,,,,,,,,,,
Study Person Roles,,,,,,,,,,
,,,,,,,,,,
Study Factor,factor,http://purl.org/isaterms/factor,has factor level,http://purl.org/isaterms/has_factor_level,factor value,Factor Value
Study Factor Name,,,,,,,,,,
Study Factor Type,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Study Design Type,study design,http://purl.org/isaterms/study_design,declares,http://purl.org/isaterms/declares,factor,Study Factor,,,,
Study Design Execution,,,,,,,,,,
,,,,,,,,,,
Study Assay,,,has measurement,http://purl.org/isaterms/has_measurement,measurement type,Study Assay Measurement Type,has technology ,http://purl.org/isaterms/has_technology,technology type,Study Assay Technology Type
Study Assay Measurement Type,measurement,http://purl.org/isaterms/measurement,,,,,,,,
Study Assay Technology Type,technology,http://purl.org/isaterms/technology,,,,,,,,
Study Assay Technology Platform,,,,,,,,,,
Study Assay File,assay_file,http://purl.org/isaterms/assay_file,describes,http://purl.org/isaterms/describes,assay,Assay,,,,
Study Assay File Name,,,,,,,,,,
,,,,,,,,,,
Study Protocol,,,,,,,,,,
Study Protocol Name,,,,,,,,,,
Study Protocol Type,,,,,,,,,,
Study Protocol Description,,,,,,,,,,
Study Protocol URI,,,,,,,,,,
Study Protocol Version,,,,,,,,,,
Study Protocol Parameter,parameter,http://purl.org/isaterms/measurement,,,,,,,,
Study Protocol Parameters Name,,,,,,,,,,
Study Protocol Component,,,,,,,,,,
Study Protocol Components Name,,,,,,,,,,
Study Protocol Components Type,,,,,,,,,,
,,,,,,,,,,
Source,,,,,,,,,,
Source Name,,,,,,,,,,
Sample,,,,,,,,,,
{Sample|Extract|Labeled Extract},,,,,,,,,,
{Sample Name|Extract Name|Labeled Extract Name},,,,,,,,,,
Characteristics,,,,,,,,,,
{Source|Sample|Extract|Labeled Extract},,,,,,,,,,
Factor Value,factor value,http://purl.org/isaterms/factor_value,,,,,,,,
,,,,,,,,,,
Study Protocol REF,,,has parameter value,http://purl.org/isaterms/has_parameter_value,parameter value,Parameter Value,,,,
Assay Protocol REF,,,has parameter value,http://purl.org/isaterms/has_parameter_value,parameter value,Parameter Value,,,,
Study Protocol REF Input,,,,,,,,,,
Study Protocol REF Output,,,,,,,,,,
Assay Protocol REF Input,,,,,,,,,,
Assay Protocol REF Output,,,,,,,,,,
Parameter Value,parameter value,http://purl.org/isaterms/parameter_value,,,,,,,,
Parameter Value[instrument],,,,,,,,,,
Parameter Value[software],,,,,,,,,,
Unit,,,,,,,,,,
Date,,,,,,,,,,
Performer,,,,,,,,,,
,,,,,,,,,,
Study Group,study group population,http://purl.org/isaterms/study_group_population,is defined by,http://purl.org/isaterms/is_defined_by,factor value,Factor Value,has member,http://purl.org/isaterms/has_member,sample,Sample
,,,,,,,,,,
Image File,image file,http://purl.org/isaterms/image_file,,,,,,,,
Raw Data File,raw data file,http://purl.org/isaterms/raw_data_file,,,,,,,,
Derived Data File,derived data file,http://purl.org/isaterms/derived_data_file,,,,,,,,
Raw Spectral Data File,raw spectral data file,http://purl.org/isaterms/raw_spectral_data_file,,,,,,,,
Derived Spectral File,derived spectral file,http://purl.org/isaterms/array_data_matrix,,,,,,,,
Array Data File,raw data file,http://purl.org/isaterms/raw_data_file,,,,,,,,
Derived Array Data File,derived data file,http://purl.org/isaterms/derived_data_file,,,,,,,,
Array Data Matrix File,array data matrix file,http://purl.org/isaterms/array_data_matrix_file,,,,,,,,
Derived Array Data Matrix File,derived array data matrix file,http://purl.org/isaterms/derived_array_data_matrix_file,,,,,,,,